#BumpTest_2019-12-19T15:18:43_998219.csv
#UpdateHz : 100
#Baseline Measurements : 100
#Actuator Setting : -500000 uA
#Measurement Units : uC
1576786724.013017,	22103400
1576786724.0259478,	22091310
1576786724.044929,	22091310
1576786724.0649157,	22091310
1576786724.0849001,	22091310
1576786724.104882,	22091310
1576786724.124954,	22079220
1576786724.1439564,	22079220
1576786724.1639647,	22079220
1576786724.1839647,	22079220
1576786724.2039418,	22079220
1576786724.224885,	22067140
1576786724.2439132,	22067140
1576786724.2638977,	22067140
1576786724.2838855,	22067140
1576786724.3038619,	22067140
1576786724.3239384,	22055050
1576786724.342972,	22055050
1576786724.362977,	22042960
1576786724.3829534,	22042960
1576786724.4029326,	22042960
1576786724.4238913,	22030890
1576786724.4429078,	22030890
1576786724.4628842,	22018800
1576786724.4828618,	22018800
1576786724.501977,	22018800
1576786724.5229435,	22018800
1576786724.5419602,	22018800
1576786724.5619457,	22006710
1576786724.581925,	22006710
1576786724.6019113,	22006710
1576786724.622867,	22006710
1576786724.6418858,	22006710
1576786724.661864,	22018800
1576786724.680959,	22018800
1576786724.7009597,	22018800
1576786724.7219267,	22018800
1576786724.7409406,	22018800
1576786724.760932,	22030890
1576786724.7809086,	22030890
1576786724.8008962,	22030890
1576786724.821947,	22042960
1576786724.84186,	22042960
1576786724.8609552,	22055050
1576786724.8809662,	22055050
1576786724.900953,	22055050
1576786724.9219036,	22079220
1576786724.9409223,	22079220
1576786724.960899,	22103400
1576786724.9808812,	22103400
1576786725.000879,	22103400
1576786725.0209396,	22115470
1576786725.0399532,	22115470
1576786725.0599444,	22139650
1576786725.0799496,	22139650
1576786725.099934,	22139650
1576786725.1208813,	22139650
1576786725.13991,	22139650
1576786725.1598837,	22163820
1576786725.1798687,	22163820
1576786725.1998687,	22163820
1576786725.2204359,	22175910
1576786725.2389603,	22175910
1576786725.2590008,	22200070
1576786725.2789626,	22200070
1576786725.298949,	22200070
1576786725.3198977,	22200070
1576786725.3389423,	22200070
1576786725.3589098,	22212160
1576786725.378886,	22212160
1576786725.3988693,	22212160
1576786725.4189467,	22212160
1576786725.4379766,	22212160
1576786725.4579742,	22212160
