-2.49773,1.50391
-2.47773,1.50406
-2.45773,1.504
-2.43773,1.50406
-2.41773,1.50406
-2.39773,1.50406
-2.37773,1.50409
-2.35773,1.50422
-2.33773,1.50422
-2.31773,1.50422
-2.29773,1.50416
-2.27773,1.50406
-2.25773,1.50416
-2.23773,1.50409
-2.21773,1.50409
-2.19773,1.504
-2.17773,1.50409
-2.15773,1.50409
-2.13773,1.50416
-2.11773,1.50416
-2.09773,1.50409
-2.07773,1.50409
-2.05773,1.504
-2.03773,1.50406
-2.01773,1.50406
-1.99773,1.50406
-1.97773,1.50406
-1.95773,1.50394
-1.93773,1.504
-1.91773,1.504
-1.89773,1.50406
-1.87773,1.50406
-1.85773,1.50394
-1.83773,1.50406
-1.81773,1.50394
-1.79773,1.50394
-1.77773,1.50384
-1.75773,1.50391
-1.73773,1.50394
-1.71773,1.50378
-1.69773,1.50378
-1.67773,1.50384
-1.65773,1.50391
-1.63773,1.50384
-1.61773,1.50384
-1.59773,1.50384
-1.57773,1.50384
-1.55773,1.50391
-1.53773,1.50369
-1.51773,1.50362
-1.49773,1.50378
-1.47773,1.50375
-1.45773,1.50378
-1.43773,1.50378
-1.41773,1.50369
-1.39773,1.50362
-1.37773,1.50375
-1.35773,1.50384
-1.33773,1.50378
-1.31773,1.50378
-1.29773,1.50375
-1.27773,1.50384
-1.25773,1.50394
-1.23773,1.504
-1.21773,1.50394
-1.19773,1.50394
-1.17773,1.504
-1.15773,1.504
-1.13773,1.50394
-1.11773,1.50391
-1.09773,1.504
-1.07773,1.50406
-1.05773,1.50422
-1.03773,1.50425
-1.01773,1.50422
-.997732,1.50406
-.977732,1.504
-.957732,1.50406
-.937732,1.504
-.917732,1.50406
-.897732,1.50422
-.877732,1.50406
-.857732,1.50409
-.837732,1.50409
-.817732,1.504
-.797732,1.50406
-.777732,1.50394
-.757732,1.50409
-.737732,1.50416
-.717732,1.50416
-.697732,1.50416
-.677732,1.50425
-.657732,1.50422
-.637732,1.50416
-.617732,1.50416
-.597732,1.50406
-.577732,1.50409
-.557732,1.50416
-.537732,1.50409
-.517732,1.50416
-.497732,1.50409
-.477732,1.50409
-.457732,1.50422
-.437732,1.50416
-.417732,1.50406
-.397732,1.50416
-.377732,1.504
-.357732,1.504
-.337732,1.504
-.317732,1.504
-.297732,1.504
-.277732,1.50394
-.257732,1.50406
-.237732,1.504
-.217732,1.504
-.197732,1.504
-.177732,1.504
-.157732,1.50406
-.137732,1.50406
-.117732,1.504
-.0977319,1.50394
-.0777319,1.504
-.0577319,1.504
-.0377319,1.50394
-.0177319,1.504
.00226807,1.50406
.0222681,1.50406
.0422681,1.50416
.0622681,1.50416
.0822681,1.50406
.102268,1.50406
.122268,1.50409
.142268,1.50409
.162268,1.50422
.182268,1.50409
.202268,1.50416
.222268,1.50431
.242268,1.50425
.262268,1.50425
.282268,1.50425
.302268,1.50437
.322268,1.50441
.342268,1.50441
.362268,1.50453
.382268,1.50447
.402268,1.50447
.422268,1.50453
.442268,1.50447
.462268,1.50447
.482268,1.50453
.502268,1.50453
.522268,1.50447
.542268,1.50447
.562268,1.50453
.582268,1.50453
.602268,1.50469
.622268,1.50462
.642268,1.50462
.662268,1.50462
.682268,1.50447
.702268,1.50447
.722268,1.50437
.742268,1.50441
.762268,1.50431
.782268,1.50425
.802268,1.50416
.822268,1.50416
.842268,1.50416
.862268,1.504
.882268,1.50406
.902268,1.50369
.922268,1.50369
.942268,1.50353
.962268,1.50347
.982268,1.50344
1.00227,1.50328
1.02227,1.50309
1.04227,1.50291
1.06227,1.50291
1.08227,1.50278
1.10227,1.50259
1.12227,1.50244
1.14227,1.50237
1.16227,1.50228
1.18227,1.502
1.20227,1.50191
1.22227,1.50181
1.24227,1.50159
1.26227,1.50128
1.28227,1.50116
1.30227,1.50097
1.32227,1.50075
1.34227,1.50066
1.36227,1.50037
1.38227,1.50034
1.40227,1.50003
1.42227,1.49981
1.44227,1.49959
1.46227,1.49944
1.48227,1.49919
1.50227,1.49897
1.52227,1.49881
1.54227,1.49856
1.56227,1.49834
1.58227,1.49803
1.60227,1.49781
1.62227,1.49759
1.64227,1.49741
1.66227,1.49703
1.68227,1.49687
1.70227,1.49656
1.72227,1.49644
1.74227,1.49619
1.76227,1.49566
1.78227,1.49547
1.80227,1.49531
1.82227,1.49509
1.84227,1.49472
1.86227,1.49441
1.88227,1.49409
1.90227,1.49387
1.92227,1.49356
1.94227,1.49334
1.96227,1.49303
1.98227,1.49278
2.00227,1.49247
2.02227,1.49237
2.04227,1.49194
2.06227,1.49172
2.08227,1.49147
2.10227,1.49106
2.12227,1.49084
2.14227,1.49053
2.16227,1.49025
2.18227,1.49
2.20227,1.48969
2.22227,1.48928
2.24227,1.48916
2.26227,1.48884
2.28227,1.48859
2.30227,1.48831
2.32227,1.488
2.34227,1.48766
2.36227,1.48744
2.38227,1.48706
2.40227,1.48681
2.42227,1.48644
2.44227,1.48612
2.46227,1.48581
2.48227,1.48544
2.50227,1.48519
2.52227,1.48472
2.54227,1.48441
2.56227,1.48403
2.58227,1.48366
2.60227,1.48341
2.62227,1.48312
2.64227,1.48272
2.66227,1.48228
2.68227,1.48194
2.70227,1.48162
2.72227,1.48134
2.74227,1.48109
2.76227,1.48081
2.78227,1.48041
2.80227,1.48016
2.82227,1.47978
2.84227,1.47953
2.86227,1.47925
2.88227,1.47884
2.90227,1.47856
2.92227,1.47816
2.94227,1.47791
2.96227,1.47753
2.98227,1.47725
3.00227,1.47691
3.02227,1.47662
3.04227,1.47628
3.06227,1.47591
