# Total data length 50 seconds
# 20 ms per point
# Trigger was at 5% (line 125), t=0
# time (s)  Vtemp(V)
-.535579,1.27566
-.515579,1.27566
-.495579,1.27559
-.475579,1.27559
-.455579,1.27566
-.435579,1.27569
-.415579,1.27566
-.395579,1.27566
-.375579,1.27566
-.355579,1.27566
-.335579,1.27566
-.315579,1.27566
-.295579,1.27566
-.275579,1.27566
-.255579,1.27566
-.235579,1.27575
-.215579,1.27569
-.195579,1.27566
-.175579,1.27569
-.155579,1.27569
-.135579,1.27569
-.115579,1.27569
-.0955786,1.27566
-.0755786,1.27569
-.0555786,1.27569
-.0355786,1.27569
-.0155786,1.27569
.00442139,1.27569
.0244214,1.27569
.0444214,1.27575
.0644214,1.27381
.0844214,1.2615
.104421,1.26119
.124421,1.26106
.144421,1.26113
.164421,1.26113
.184421,1.26106
.204421,1.26103
.224421,1.26113
.244421,1.26122
.264421,1.26128
.284421,1.26134
.304421,1.26128
.324421,1.26128
.344421,1.26128
.364421,1.26119
.384421,1.26119
.404421,1.26106
.424421,1.26106
.444421,1.26106
.464421,1.26106
.484421,1.26103
.504421,1.26097
.524421,1.26097
.544421,1.26097
.564421,1.26103
.584421,1.26103
.604421,1.26097
.624421,1.26097
.644421,1.26097
.664421,1.26097
.684421,1.26097
.704421,1.26097
.724421,1.26097
.744421,1.26097
.764421,1.26097
.784421,1.26097
.804421,1.26091
.824421,1.26084
.844421,1.26084
.864421,1.26091
.884421,1.26084
.904421,1.26081
.924421,1.26081
.944421,1.26081
.964421,1.26084
.984421,1.26084
1.00442,1.26081
1.02442,1.26081
1.04442,1.26081
1.06442,1.26075
1.08442,1.26075
1.10442,1.26075
1.12442,1.26069
1.14442,1.26075
1.16442,1.26075
1.18442,1.26066
1.20442,1.26066
1.22442,1.26059
1.24442,1.26053
1.26442,1.26059
1.28442,1.26059
1.30442,1.26059
1.32442,1.26053
1.34442,1.26053
1.36442,1.26053
1.38442,1.2605
1.40442,1.26044
1.42442,1.26044
1.44442,1.26044
1.46442,1.26038
1.48442,1.26038
1.50442,1.26034
1.52442,1.26034
1.54442,1.26034
1.56442,1.26038
1.58442,1.26034
1.60442,1.26028
1.62442,1.26022
1.64442,1.26019
1.66442,1.26019
1.68442,1.26019
1.70442,1.26013
1.72442,1.26006
1.74442,1.26006
1.76442,1.26006
1.78442,1.26006
1.80442,1.26003
1.82442,1.25997
1.84442,1.25991
1.86442,1.25991
1.88442,1.25991
1.90442,1.25988
1.92442,1.25981
1.94442,1.25981
1.96442,1.25981
1.98442,1.25975
2.00442,1.25972
2.02442,1.25966
2.04442,1.25959
2.06442,1.25959
2.08442,1.25956
2.10442,1.25956
2.12442,1.2595
2.14442,1.2595
2.16442,1.25944
2.18442,1.25944
2.20442,1.25934
2.22442,1.25934
2.24442,1.25934
2.26442,1.25934
2.28442,1.25934
2.30442,1.25919
2.32442,1.25919
2.34442,1.25913
2.36442,1.25913
2.38442,1.25906
2.40442,1.25903
2.42442,1.25897
2.44442,1.25891
2.46442,1.25891
2.48442,1.25891
2.50442,1.25881
2.52442,1.25881
2.54442,1.25875
2.56442,1.25875
2.58442,1.25872
2.60442,1.25866
2.62442,1.25859
2.64442,1.25859
2.66442,1.25859
2.68442,1.25856
2.70442,1.2585
2.72442,1.25841
2.74442,1.25841
2.76442,1.25841
2.78442,1.25834
2.80442,1.25828
2.82442,1.25825
2.84442,1.25825
2.86442,1.25819
2.88442,1.25813
2.90442,1.25813
2.92442,1.25809
2.94442,1.25809
2.96442,1.25809
2.98442,1.25803
3.00442,1.25794
3.02442,1.25781
3.04442,1.25781
3.06442,1.25781
3.08442,1.25778
3.10442,1.25766
3.12442,1.25766
3.14442,1.25766
3.16442,1.25766
3.18442,1.25759
3.20442,1.2575
3.22442,1.25744
3.24442,1.25741
3.26442,1.25741
3.28442,1.25741
3.30442,1.25734
3.32442,1.25728
3.34442,1.25725
3.36442,1.25719
3.38442,1.25713
3.40442,1.25709
3.42442,1.25709
3.44442,1.25703
3.46442,1.25703
3.48442,1.25697
3.50442,1.25694
3.52442,1.25681
3.54442,1.25681
3.56442,1.25678
3.58442,1.25672
3.60442,1.25666
3.62442,1.25663
3.64442,1.25663
3.66442,1.25663
3.68442,1.2565
3.70442,1.25641
3.72442,1.25634
3.74442,1.25634
3.76442,1.25631
3.78442,1.25625
3.80442,1.25619
3.82442,1.25613
3.84442,1.25613
3.86442,1.25609
3.88442,1.25603
3.90442,1.25597
3.92442,1.25594
3.94442,1.25588
3.96442,1.25588
3.98442,1.25588
4.00442,1.25578
4.02442,1.25572
4.04442,1.25566
4.06442,1.25563
4.08442,1.25556
4.10442,1.25547
4.12442,1.25547
4.14442,1.25547
4.16442,1.25547
4.18442,1.25541
4.20442,1.25531
4.22442,1.25519
4.24442,1.25516
4.26442,1.25516
4.28442,1.25509
4.30442,1.25503
4.32442,1.255
4.34442,1.25494
4.36442,1.25494
4.38442,1.25488
4.40442,1.25478
4.42442,1.25472
4.44442,1.25472
4.46442,1.25469
4.48442,1.25463
4.50442,1.25456
4.52442,1.25447
4.54442,1.25447
4.56442,1.25447
4.58442,1.25441
4.60442,1.25431
4.62442,1.25425
4.64442,1.25425
4.66442,1.25425
4.68442,1.25419
4.70442,1.25409
4.72442,1.25403
4.74442,1.254
4.76442,1.25394
4.78442,1.25394
4.80442,1.25384
4.82442,1.25378
4.84442,1.25378
4.86442,1.25372
4.88442,1.25369
4.90442,1.25356
4.92442,1.25356
4.94442,1.25347
4.96442,1.25341
4.98442,1.25338
5.00442,1.25331
5.02442,1.25331
5.04442,1.25325
5.06442,1.25322
5.08442,1.25316
5.10442,1.25309
5.12442,1.253
5.14442,1.25294
5.16442,1.25288
5.18442,1.25272
5.20442,1.25269
5.22442,1.25278
5.24442,1.25278
5.26442,1.25272
5.28442,1.25269
5.30442,1.25263
5.32442,1.25253
5.34442,1.25247
5.36442,1.25241
5.38442,1.25238
5.40442,1.25225
5.42442,1.25216
5.44442,1.25209
5.46442,1.25209
5.48442,1.25206
5.50442,1.252
5.52442,1.252
5.54442,1.252
5.56442,1.252
5.58442,1.25191
5.60442,1.25169
5.62442,1.25178
5.64442,1.25206
5.66442,1.25194
5.68442,1.25169
5.70442,1.25153
5.72442,1.25153
5.74442,1.25159
5.76442,1.25153
5.78442,1.25144
5.80442,1.25131
5.82442,1.25131
5.84442,1.25125
5.86442,1.25125
5.88442,1.25116
5.90442,1.25109
5.92442,1.25109
5.94442,1.25106
5.96442,1.25091
5.98442,1.25078
6.00442,1.25084
6.02442,1.25075
6.04442,1.25078
6.06442,1.25069
6.08442,1.25059
6.10442,1.25053
6.12442,1.25047
6.14442,1.25044
6.16442,1.25038
6.18442,1.25031
6.20442,1.25028
6.22442,1.25028
6.24442,1.25028
6.26442,1.25022
6.28442,1.25013
6.30442,1.24991
6.32442,1.24984
